league,season,team,player,nation,pos,age,born,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG)
,,,,,,,,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off
ESP-La Liga,2324,Cádiz,Rubén Sobrino,ESP,"MF,FW",31-244,1992,18,722,40,36.5,8.0,6,68,1,12,26,1,0.89,3,11,-8,-1.0,-0.42,4.9,13.4,-8.6,-1.07,-0.66
ESP-La Liga,2324,Cádiz,Sergi Guardiola,ESP,"FW,MF",32-247,1991,12,285,24,14.4,3.2,1,69,0,11,20,5,0.5,1,5,-4,-1.26,-0.63,2.0,4.7,-2.7,-0.85,-0.24
ESP-La Liga,2324,Cádiz,Victor Wehbi,BRA,GK,21-106,2002,0,,,,,0,,0,0,,5,,,,,,,,,,,
ESP-La Liga,2324,Cádiz,Víctor Chust,ESP,DF,23-332,2000,7,539,77,27.2,6.0,7,77,4,0,,6,0.57,1,5,-4,-0.67,0.08,4.4,6.4,-2.0,-0.33,0.43
ESP-La Liga,2324,Cádiz,Álex Fernández,ESP,"MF,FW",31-108,1992,17,768,45,38.8,8.5,8,77,4,9,17,4,0.82,3,12,-9,-1.05,-0.53,6.4,15.5,-9.1,-1.07,-0.69
ESP-La Liga,2324,Cádiz,Álvaro Bastida,ESP,MF,19-264,2004,0,,,,,0,,0,0,,2,,,,,,,,,,,
ESP-La Liga,2324,Cádiz,Álvaro Negredo,ESP,"FW,MF",38-164,1985,7,54,8,2.7,0.6,0,,0,7,8,15,0.43,0,2,-2,-3.33,-2.68,0.7,2.6,-1.9,-3.2,-2.62
ESP-La Liga,2324,Getafe,Anthony Lozano,HON,"MF,FW",30-281,1993,6,92,15,4.9,1.0,0,,0,6,15,13,0.33,1,4,-3,-2.93,-3.08,0.9,3.2,-2.3,-2.22,-2.08
ESP-La Liga,2324,Getafe,Borja Mayoral,ESP,FW,26-301,1997,21,1679,80,88.8,18.7,20,83,8,1,27,0,1.38,27,22,5,0.27,2.4,22.4,23.3,-0.9,-0.05,1.66
ESP-La Liga,2324,Getafe,Carles Aleñá,ESP,MF,26-026,1998,17,671,39,35.5,7.5,8,59,0,9,22,3,1.39,11,14,-3,-0.4,-0.62,9.7,12.1,-2.3,-0.31,-0.12
ESP-La Liga,2324,Getafe,Carmona,ESP,"MF,FW",22-002,2002,14,561,40,29.7,6.2,7,64,2,7,16,0,1.29,10,10,0,0.0,0.0,8.1,10.3,-2.2,-0.35,-0.16
ESP-La Liga,2324,Getafe,Damián Suárez,URU,DF,35-279,1988,15,1209,81,64.0,13.4,14,83,8,1,45,1,1.19,20,22,-2,-0.15,-0.41,15.0,19.7,-4.7,-0.35,-0.33
ESP-La Liga,2324,Getafe,Daniel Fuzato,BRA,GK,26-211,1997,0,,,,,0,,0,0,,21,,,,,,,,,,,
ESP-La Liga,2324,Getafe,David Soria,ESP,GK,30-302,1993,21,1890,90,100.0,21.0,21,90,21,0,,0,1.38,28,28,0,0.0,,24.3,29.3,-4.9,-0.23,
ESP-La Liga,2324,Getafe,Diego Rico,ESP,DF,30-342,1993,16,1425,89,75.4,15.8,16,89,12,0,,0,1.38,25,22,3,0.19,0.77,19.0,21.8,-2.8,-0.18,0.23
ESP-La Liga,2324,Getafe,Djené,TOG,"MF,DF",32-031,1991,18,1319,73,69.8,14.7,16,79,10,2,30,0,1.44,17,18,-1,-0.07,-0.23,14.6,19.7,-5.2,-0.35,-0.4
ESP-La Liga,2324,Getafe,Djordjije Medenica,ESP,GK,17-075,2006,0,,,,,0,,0,0,,1,,,,,,,,,,,
