league,season,team,player,nation,pos,age,born,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG)
,,,,,,,,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off
ESP-La Liga,2324,Sevilla,Fernando,BRA,MF,36-190,1987,8,459,57,23.2,5.1,5,74,1,3,29,3,1.0,8,10,-2,-0.39,0.02,5.4,7.3,-1.9,-0.37,0.05
ESP-La Liga,2324,Sevilla,Gonzalo Montiel,ARG,DF,27-030,1997,0,,,,,0,,0,0,,1,,,,,,,,,,,
ESP-La Liga,2324,Sevilla,Hannibal Mejbri,TUN,MF,21-010,2003,1,29,29,1.5,0.3,0,,0,1,29,1,0.0,0,1,-1,-3.1,-2.73,0.2,0.6,-0.4,-1.39,-0.99
ESP-La Liga,2324,Sevilla,Ibrahima Sow,SEN,FW,17-005,2007,0,,,,,0,,0,0,,3,,,,,,,,,,,
ESP-La Liga,2324,Sevilla,Isaac Bernal,ESP,FW,23-258,2000,3,205,68,10.4,2.3,3,68,1,0,,0,0.33,2,7,-5,-2.2,-1.99,,,,,
ESP-La Liga,2324,Sevilla,Ivan Rakitić,CRO,MF,35-327,1988,18,1425,79,72.0,15.8,16,83,13,2,52,2,0.56,14,23,-9,-0.57,-0.57,16.7,22.3,-5.6,-0.35,0.21
ESP-La Liga,2324,Sevilla,Jesús Corona,MEX,"MF,DF",31-025,1993,2,17,9,0.9,0.2,0,,0,2,9,1,0.0,1,0,1,5.29,5.75,0.1,0.0,0.0,0.12,0.54
ESP-La Liga,2324,Sevilla,Jesús Navas,ESP,DF,38-071,1985,15,1034,69,52.2,11.5,12,83,6,3,13,1,0.8,16,21,-5,-0.44,-0.05,12.5,18.2,-5.8,-0.5,-0.19
ESP-La Liga,2324,Sevilla,Joan Jordán,ESP,MF,29-209,1994,4,344,86,17.4,3.8,4,86,3,0,,13,0.4,5,12,-7,-1.83,-1.72,3.1,7.9,-4.8,-1.25,-1.02
ESP-La Liga,2324,Sevilla,Juanlu Sánchez,ESP,DF,20-169,2003,15,917,61,46.3,10.2,10,83,6,5,17,7,0.8,11,14,-3,-0.29,0.21,10.6,13.6,-2.9,-0.29,0.23
ESP-La Liga,2324,Sevilla,Kike Salas,ESP,DF,21-283,2002,10,551,55,27.8,6.1,7,75,4,3,10,6,0.73,9,14,-5,-0.82,-0.56,3.4,8.7,-5.2,-0.86,-0.62
ESP-La Liga,2324,Sevilla,Loïc Bade,FRA,DF,23-295,2000,14,1085,78,54.8,12.1,13,82,9,1,14,2,0.86,15,17,-2,-0.17,0.54,13.4,18.1,-4.7,-0.39,0.05
ESP-La Liga,2324,Sevilla,Lucas Ocampos,ARG,FW,29-204,1994,21,1713,82,86.5,19.0,20,83,12,1,45,1,0.67,20,31,-11,-0.58,-1.25,19.4,26.4,-7.1,-0.37,0.31
ESP-La Liga,2324,Sevilla,Lucien Agoume,FRA,MF,21-356,2002,2,72,36,3.6,0.8,1,58,0,1,14,1,0.5,1,2,-1,-1.25,-0.87,0.8,1.4,-0.6,-0.78,-0.38
ESP-La Liga,2324,Sevilla,Lulo Dasilva,ESP,MF,21-119,2002,0,,,,,0,,0,0,,3,,,,,,,,,,,
ESP-La Liga,2324,Sevilla,Manuel Sebastián,ESP,MF,19-188,2004,1,20,20,1.0,0.2,0,,0,1,20,8,3.0,0,0,0,0.0,0.41,0.1,0.3,-0.2,-0.87,-0.47
ESP-La Liga,2324,Sevilla,Marcos Acuña,ARG,DF,32-095,1991,9,514,57,26.0,5.7,8,62,2,1,16,2,0.67,7,12,-5,-0.88,-0.63,6.2,8.0,-1.8,-0.32,0.13
ESP-La Liga,2324,Sevilla,Marcão,BRA,DF,27-240,1996,5,220,44,11.1,2.4,2,80,1,3,20,4,0.8,3,6,-3,-1.23,-0.92,3.5,4.1,-0.6,-0.23,0.2
ESP-La Liga,2324,Sevilla,Mariano,DOM,FW,30-183,1993,6,219,37,11.1,2.4,2,75,0,4,18,2,0.5,4,6,-2,-0.82,-0.46,3.4,4.0,-0.6,-0.26,0.17
ESP-La Liga,2324,Sevilla,Marko Dmitrović,SRB,GK,32-007,1992,13,1170,90,59.1,13.0,13,90,13,0,,8,0.62,14,25,-11,-0.85,-1.07,13.0,18.6,-5.6,-0.43,-0.04
ESP-La Liga,2324,Sevilla,Matías Árbol,ESP,GK,21-141,2002,0,,,,,0,,0,0,,9,,,,,,,,,,,
ESP-La Liga,2324,Sevilla,Miguel Capitas,ESP,MF,22-331,2001,0,,,,,0,,0,0,,1,,,,,,,,,,,
ESP-La Liga,2324,Sevilla,Nemanja Gudelj,SRB,DF,32-076,1991,16,1376,86,69.5,15.3,16,86,14,0,,2,0.81,21,22,-1,-0.07,1.13,15.0,21.8,-6.8,-0.44,-0.11
ESP-La Liga,2324,Sevilla,Papu Gómez,ARG,"FW,MF",35-350,1988,0,,,,,0,,0,0,,3,,,,,,,,,,,
ESP-La Liga,2324,Sevilla,Rafa,ESP,GK,20-177,2003,0,,,,,0,,0,0,,3,,,,,,,,,,,
ESP-La Liga,2324,Sevilla,Rafa Mir,ESP,"FW,MF",26-227,1997,15,391,26,19.7,4.3,3,73,1,12,14,7,0.93,5,4,1,0.23,0.8,6.0,6.7,-0.6,-0.14,0.33
ESP-La Liga,2324,Sevilla,Sergio Ramos,ESP,DF,37-307,1986,13,1167,90,58.9,13.0,13,90,12,0,,3,0.69,12,22,-10,-0.77,-0.88,12.9,18.2,-5.3,-0.41,0.01
ESP-La Liga,2324,Sevilla,Suso,ESP,"MF,FW",30-073,1993,18,1087,60,54.9,12.1,13,76,5,5,20,0,0.83,21,26,-5,-0.41,-0.01,14.5,18.4,-3.9,-0.32,0.2
ESP-La Liga,2324,Sevilla,Tanguy Nianzou,FRA,DF,21-238,2002,4,205,51,10.4,2.3,2,81,1,2,22,6,0.25,1,6,-5,-2.2,-1.99,2.5,3.8,-1.3,-0.58,-0.19
ESP-La Liga,2324,Sevilla,Yassine Bounou,MAR,GK,32-301,1991,1,90,90,4.5,1.0,1,90,1,0,,0,0.0,1,2,-1,-1.0,-0.62,0.7,1.1,-0.4,-0.4,0.01
ESP-La Liga,2324,Sevilla,Youssef En-Nesyri,MAR,FW,26-244,1997,17,1193,70,60.3,13.3,12,88,8,5,29,0,0.94,21,19,2,0.15,1.41,14.5,17.7,-3.2,-0.24,0.44
ESP-La Liga,2324,Sevilla,Érik Lamela,ARG,"FW,MF",31-333,1992,8,368,46,18.6,4.1,4,77,2,4,15,4,0.88,8,6,2,0.49,1.1,5.0,8.4,-3.4,-0.83,-0.51
ESP-La Liga,2324,Sevilla,Óliver Torres,ESP,MF,29-082,1994,17,873,51,44.1,9.7,9,74,2,8,25,3,0.76,11,12,-1,-0.1,0.55,9.3,12.1,-2.8,-0.29,0.22
ESP-La Liga,2324,Sevilla,Ørjan Nyland,NOR,GK,33-143,1990,8,720,90,36.4,8.0,8,90,8,0,,4,1.13,12,9,3,0.37,1.23,9.5,12.6,-3.1,-0.39,0.04
ESP-La Liga,2324,Valencia,Alberto Marí,ESP,FW,22-204,2001,4,27,7,1.4,0.3,0,,0,4,7,2,1.75,2,0,2,6.67,6.71,1.3,0.8,0.5,1.62,1.72
ESP-La Liga,2324,Valencia,Cenk Özkacar,TUR,DF,23-117,2000,9,599,67,30.3,6.7,7,81,5,2,17,11,1.11,5,9,-4,-0.6,-0.93,6.2,5.6,0.6,0.09,0.24
ESP-La Liga,2324,Valencia,Cristhian Mosquera,COL,DF,19-218,2004,20,1635,82,82.6,18.2,17,90,16,3,35,1,1.3,24,22,2,0.11,0.37,19.5,22.0,-2.4,-0.13,-0.31
ESP-La Liga,2324,Valencia,Cristian,ESP,GK,25-316,1998,0,,,,,0,,0,0,,22,,,,,,,,,,,
ESP-La Liga,2324,Valencia,César Tárrega,ESP,DF,21-339,2002,1,8,8,0.4,0.1,0,,0,1,8,10,3.0,0,0,0,0.0,-0.05,0.2,0.0,0.1,1.57,1.65
ESP-La Liga,2324,Valencia,David Otorbi,ESP,FW,16-107,2007,0,,,,,0,,0,0,,3,,,,,,,,,,,
ESP-La Liga,2324,Valencia,Diego López,ESP,"FW,MF",21-263,2002,22,1606,73,81.1,17.8,19,79,3,3,33,0,1.45,18,20,-2,-0.11,-0.83,17.1,19.5,-2.5,-0.14,-0.31
ESP-La Liga,2324,Valencia,Dimitri Foulquier,FRA,"DF,MF",30-314,1993,18,833,46,42.1,9.3,7,89,6,11,19,0,1.56,12,11,1,0.11,0.11,10.4,11.8,-1.3,-0.14,-0.11
ESP-La Liga,2324,Valencia,Domingos André Ribeiro Almeida,POR,"FW,MF",23-246,2000,8,479,60,24.2,5.3,6,66,0,2,41,0,1.25,7,6,1,0.19,0.19,5.2,6.3,-1.1,-0.22,-0.18
ESP-La Liga,2324,Valencia,Francisco Perez,ESP,"MF,FW",21-144,2002,22,1454,66,73.4,16.2,19,71,2,3,33,0,1.45,20,14,6,0.37,1.23,18.2,16.1,2.1,0.13,0.79
ESP-La Liga,2324,Valencia,Gabriel Paulista,BRA,DF,33-066,1990,18,1398,78,70.6,15.5,16,85,12,2,19,0,1.5,17,19,-2,-0.13,-0.59,17.9,16.3,1.6,0.1,0.63
ESP-La Liga,2324,Valencia,Giorgi Mamardashvili,GEO,GK,23-124,2000,22,1980,90,100.0,22.0,22,90,22,0,,0,1.45,27,26,1,0.05,,23.5,25.3,-1.8,-0.08,
ESP-La Liga,2324,Valencia,Hugo Duro,ESP,FW,24-082,1999,22,1804,82,91.1,20.0,21,84,7,1,45,0,1.45,25,23,2,0.1,0.61,21.6,20.7,0.9,0.04,1.38
ESP-La Liga,2324,Valencia,Hugo González,ESP,"MF,FW",20-358,2003,7,54,8,2.7,0.6,0,,0,7,8,11,1.43,1,1,0,0.0,-0.05,1.0,1.2,-0.2,-0.37,-0.3
ESP-La Liga,2324,Valencia,Hugo Guillamón,ESP,MF,24-000,2000,15,699,47,35.3,7.8,6,88,5,9,19,7,1.73,11,9,2,0.26,0.33,8.5,11.6,-3.1,-0.4,-0.5
ESP-La Liga,2324,Valencia,Jaume Doménech,ESP,GK,33-087,1990,0,,,,,0,,0,0,,22,,,,,,,,,,,
ESP-La Liga,2324,Valencia,Javier Guerra,ESP,"MF,FW",21-030,2003,20,1431,72,72.3,15.9,15,88,13,5,22,0,1.4,18,23,-5,-0.31,-1.3,17.0,18.5,-1.5,-0.09,-0.05
ESP-La Liga,2324,Valencia,Jesus Vazquez,ESP,"DF,MF",21-029,2003,10,245,25,12.4,2.7,2,75,0,8,12,5,1.9,6,2,4,1.47,1.63,3.5,3.1,0.4,0.14,0.25
ESP-La Liga,2324,Valencia,José Luis García Vayá,ESP,MF,25-173,1998,22,1952,89,98.6,21.7,22,89,19,0,,0,1.45,26,25,1,0.05,0.05,22.8,24.8,-2.0,-0.09,-0.94
ESP-La Liga,2324,Valencia,José Luis Gayà,ESP,DF,28-251,1995,16,1260,79,63.6,14.0,16,79,9,0,,0,1.69,19,17,2,0.14,0.27,17.9,16.1,1.8,0.13,0.57
ESP-La Liga,2324,Valencia,Marco Camús,ESP,MF,22-076,2001,0,,,,,0,,0,0,,1,,,,,,,,,,,
ESP-La Liga,2324,Valencia,Mario Dominguez,ESP,FW,19-355,2004,3,25,8,1.3,0.3,0,,0,3,8,4,0.33,0,1,-1,-3.6,-3.69,0.4,0.4,0.0,0.03,0.11
ESP-La Liga,2324,Valencia,Martín Tejón,ESP,MF,19-294,2004,0,,,,,0,,0,0,,2,,,,,,,,,,,
ESP-La Liga,2324,Valencia,Mouctar Diakhaby,GUI,"DF,MF",27-043,1996,12,895,75,45.2,9.9,10,83,8,2,31,1,1.17,9,13,-4,-0.4,-0.82,6.9,14.1,-7.1,-0.72,-1.16
ESP-La Liga,2324,Valencia,Pablo Gozalbez,ESP,"MF,FW",22-276,2001,5,103,21,5.2,1.1,1,45,0,4,15,17,2.0,2,2,0,0.0,-0.05,1.4,2.3,-0.8,-0.74,-0.7
ESP-La Liga,2324,Valencia,Roman Yaremchuk,UKR,FW,28-065,1995,15,429,29,21.7,4.8,4,58,0,11,18,2,1.27,6,7,-1,-0.21,-0.33,5.4,7.5,-2.1,-0.44,-0.46
ESP-La Liga,2324,Valencia,Ruben Lendinez,ESP,DF,20-323,2003,0,,,,,0,,0,0,,8,,,,,,,,,,,
ESP-La Liga,2324,Valencia,Selim Amallah,MAR,"MF,FW",27-077,1996,12,489,41,24.7,5.4,6,61,1,6,20,0,1.42,4,5,-1,-0.18,-0.3,3.7,4.7,-1.1,-0.2,-0.15
ESP-La Liga,2324,Valencia,Sergi Canós,ESP,"MF,FW",26-363,1997,14,575,41,29.0,6.4,7,59,0,7,23,0,1.5,14,8,6,0.94,1.26,9.5,7.0,2.5,0.4,0.67
ESP-La Liga,2324,Valencia,Thierry Correia,POR,DF,24-328,1999,19,1424,75,71.9,15.8,17,81,9,2,24,0,1.53,20,18,2,0.13,0.29,16.3,17.9,-1.6,-0.1,-0.08
ESP-La Liga,2324,Valencia,Yarek Hernandis,ESP,DF,19-019,2005,9,285,32,14.4,3.2,2,89,0,7,15,5,1.33,4,4,0,0.0,-0.05,,,,,
ESP-La Liga,2324,Villarreal,Abraham Rando,ESP,DF,22-210,2001,0,,,,,0,,0,0,,1,,,,,,,,,,,
ESP-La Liga,2324,Villarreal,Adrià Altimira,ESP,"DF,MF",22-309,2001,11,775,70,39.1,8.6,10,74,4,1,37,6,1.0,11,22,-11,-1.28,-1.2,12.8,18.7,-5.9,-0.68,-0.72
ESP-La Liga,2324,Villarreal,Alberto Moreno,ESP,"DF,MF",31-210,1992,16,780,49,39.4,8.7,8,69,1,8,29,1,1.25,18,15,3,0.35,1.47,13.3,15.1,-1.8,-0.21,0.06
ESP-La Liga,2324,Villarreal,Alex Baena,ESP,"MF,FW",22-195,2001,19,1401,74,70.8,15.6,19,74,6,0,,0,1.16,25,32,-7,-0.45,0.33,24.8,24.6,0.1,0.01,0.86
ESP-La Liga,2324,Villarreal,Alexander Sørloth,NOR,FW,28-057,1995,19,1343,71,67.8,14.9,16,78,12,3,32,0,1.0,28,28,0,0.0,1.7,24.1,22.8,1.3,0.09,1.03
ESP-La Liga,2324,Villarreal,Alfonso Pedraza,ESP,DF,27-297,1996,14,957,68,48.3,10.6,13,68,6,1,67,0,0.86,13,23,-10,-0.94,-0.76,16.2,16.8,-0.5,-0.05,0.37
ESP-La Liga,2324,Villarreal,Aïssa Mandi,ALG,DF,32-101,1991,10,666,67,33.6,7.4,7,85,6,3,24,6,0.9,13,15,-2,-0.27,0.41,11.2,11.7,-0.5,-0.07,0.25
ESP-La Liga,2324,Villarreal,Ben Brereton,CHI,"FW,MF",24-288,1999,14,270,19,13.6,3.0,2,67,0,12,11,5,0.86,3,3,0,0.0,0.63,3.3,3.5,-0.1,-0.04,0.23
ESP-La Liga,2324,Villarreal,Carlos Romero,ESP,DF,22-094,2001,6,239,40,12.1,2.7,2,53,0,4,33,6,1.67,3,8,-5,-1.88,-1.52,3.3,5.9,-2.7,-1.0,-0.87
ESP-La Liga,2324,Villarreal,Daniel Parejo,ESP,MF,34-290,1989,19,1662,87,83.9,18.5,19,87,13,0,,1,1.0,24,38,-14,-0.76,-1.32,26.4,31.6,-5.1,-0.28,-0.22
ESP-La Liga,2324,Villarreal,Denis Suárez,ESP,"MF,FW",30-025,1994,4,133,33,6.7,1.5,1,90,1,3,14,1,0.75,1,5,-4,-2.71,-2.32,0.9,4.4,-3.5,-2.33,-2.24
ESP-La Liga,2324,Villarreal,Eric Bailly,CIV,DF,29-294,1994,4,344,86,17.4,3.8,3,90,3,1,74,0,1.0,7,9,-2,-0.52,0.03,6.6,5.3,1.2,0.31,0.67
ESP-La Liga,2324,Villarreal,Filip Jørgensen,DEN,GK,21-290,2002,22,1980,90,100.0,22.0,22,90,22,0,,0,1.05,33,45,-12,-0.55,,32.0,37.3,-5.3,-0.24,
ESP-La Liga,2324,Villarreal,Francis Coquelin,FRA,MF,32-263,1991,5,229,46,11.6,2.5,2,87,1,3,19,0,1.0,7,3,4,1.57,2.39,4.5,3.0,1.5,0.58,0.93
ESP-La Liga,2324,Villarreal,Gerard Moreno,ESP,FW,31-299,1992,19,1466,77,74.0,16.3,18,81,7,1,16,0,1.0,23,35,-12,-0.74,-0.74,22.4,27.1,-4.7,-0.29,-0.17
ESP-La Liga,2324,Villarreal,Gonçalo Guedes,POR,MF,27-063,1996,2,54,27,2.7,0.6,0,,0,2,27,0,2.0,3,4,-1,-1.67,-1.15,1.2,1.6,-0.4,-0.62,-0.39
ESP-La Liga,2324,Villarreal,Iker Álvarez,AND,GK,22-190,2001,0,,,,,0,,0,0,,2,,,,,,,,,,,
ESP-La Liga,2324,Villarreal,Ilias Akhomach,ESP,"MF,FW",19-290,2004,18,865,48,43.7,9.6,8,77,2,10,25,3,1.17,15,22,-7,-0.73,-0.32,16.0,17.6,-1.5,-0.16,0.14
ESP-La Liga,2324,Villarreal,Jorge Cuenca,ESP,DF,24-075,1999,16,1253,78,63.3,13.9,13,90,13,3,28,4,1.13,21,30,-9,-0.65,-0.28,20.7,24.2,-3.6,-0.26,-0.04
ESP-La Liga,2324,Villarreal,José Luis Morales,ESP,"FW,MF",36-192,1987,16,787,49,39.7,8.7,8,71,0,8,28,6,0.94,10,20,-10,-1.14,-0.99,12.1,16.6,-4.5,-0.52,-0.45
ESP-La Liga,2324,Villarreal,Juan Foyth,ARG,DF,26-019,1998,12,1062,89,53.6,11.8,12,89,11,0,,0,1.0,15,20,-5,-0.42,0.26,16.3,17.4,-1.2,-0.1,0.31
ESP-La Liga,2324,Villarreal,Kiko Femenía,ESP,"DF,MF",32-363,1991,10,415,42,21.0,4.6,3,80,1,7,25,12,0.9,7,6,1,0.22,0.96,6.5,5.8,0.7,0.16,0.51
ESP-La Liga,2324,Villarreal,Manu Trigueros,ESP,MF,32-106,1991,9,180,20,9.1,2.0,1,74,0,8,13,13,0.89,1,3,-2,-1.0,-0.5,2.6,2.2,0.4,0.22,0.51
ESP-La Liga,2324,Villarreal,Matteo Gabbia,ITA,DF,24-102,1999,7,477,68,24.1,5.3,6,77,3,1,13,8,1.43,8,10,-2,-0.38,0.22,6.2,9.2,-3.0,-0.57,-0.42
ESP-La Liga,2324,Villarreal,Pascu,ESP,FW,20-297,2003,1,14,14,0.7,0.2,0,,0,1,14,2,0.0,2,0,2,12.86,13.5,0.2,0.2,0.0,0.22,0.47
ESP-La Liga,2324,Villarreal,Pepe Reina,ESP,GK,41-153,1982,0,,,0.0,0.0,0,,0,0,,19,1.0,2,1,1,,,,,,,
ESP-La Liga,2324,Villarreal,Ramón Terrats,ESP,MF,23-105,2000,14,618,44,31.2,6.9,5,78,1,9,25,4,0.79,10,17,-7,-1.02,-0.69,7.2,14.0,-6.9,-0.99,-1.09
ESP-La Liga,2324,Villarreal,Raúl Albiol,ESP,DF,38-149,1985,17,1276,75,64.4,14.2,16,78,11,1,24,2,1.12,19,28,-9,-0.63,-0.25,20.2,25.8,-5.6,-0.39,-0.43
ESP-La Liga,2324,Villarreal,Santi Comesaña,ESP,MF,27-118,1996,14,727,52,36.7,8.1,8,76,3,6,19,5,1.57,14,14,0,0.0,0.86,13.6,12.5,1.1,0.14,0.6
ESP-La Liga,2324,Villarreal,Stefan Lekovic,SRB,DF,20-022,2004,0,,,,,0,,0,0,,2,,,,,,,,,,,
ESP-La Liga,2324,Villarreal,Yeremi Pino,ESP,"MF,FW",21-103,2002,7,475,68,24.0,5.3,7,68,1,0,,1,0.71,6,8,-2,-0.38,0.22,5.9,8.4,-2.5,-0.47,-0.29
ESP-La Liga,2324,Villarreal,Yerson Mosquera,COL,DF,22-274,2001,1,13,13,0.7,0.1,0,,0,1,13,0,3.0,3,0,3,20.77,21.46,1.0,0.7,0.3,2.05,2.31
ESP-La Liga,2324,Villarreal,Étienne Capoue,FRA,MF,35-204,1988,20,1168,58,59.0,13.0,13,80,8,7,18,1,1.0,20,30,-10,-0.77,-0.55,19.0,24.3,-5.3,-0.41,-0.41
